"Title"	"Creator"	"Date Original"	"Subset(Note)"	"Header"	"Sport"	"Gender"	"Topical Subject"	"Geographic Subject"	"Chronological Subject"	"Source"	"Type(IMT)"	"Type(DCMITYPE)"	"Type(AAT)"	"Digital Collection"	"Contributing Institution"	"Archival Collection"	"Collection Identifier"	"Barcode"	"Rights Management"	"Contact Information"	"Sublocation"	"SportsSeasonURI"	"SportsEventID"	"Series"	"Corporate Name Subject"	"Date Digital"	"Latitude"	"Longitude"	"Personal name"	"Collection Guide"	"Folder"	"Folder name"	"Category"	"Image Height"	"Image Width"	"Duration"	"Digitization Specifications"	"Image Number"	"Object File Name"
"Football – ca. 1973 / Football Action / CMP tray [1]_021"	"The University of Iowa; The Crowley Company"	"1973"	"Case 1-Tray 1-Slide 001-128"	"Football – ca. 1973 / Football Action / CMP tray [1]"	"Football"	"Men's"	"Football"	""	"1970-1980"	"Color slides"	"image/tiff"	"Still image"	"Photographs"	"Hawkeyes Athletic Slides"	"University of Iowa. Libraries. University Archives"	"Center for Media Production Photographic Service Slide Collection"	"RG30_0002_009"	"31858045760315"	"Copyright © The University of Iowa 2015.  All rights reserved."	"Contact the University Archives at the University of Iowa: http://www.lib.uiowa.edu/sc/contact/"	"1973 Iowa Hawkeyes Football Season"	"http://dbpedia.org/resource/1973_Iowa_Hawkeyes_football_team"	"1500300002S1973"	""	"University of Iowa"	"2015-12-09"	""	""	""	""	""	""	""	""	""	""	""	""	"31858045760315_021.tif"
"Football – ca. 1973 / Football Action / CMP tray [1]_022"	"The University of Iowa; The Crowley Company"	"1973"	"Case 1-Tray 1-Slide 001-128"	"Football – ca. 1973 / Football Action / CMP tray [1]"	"Football"	"Men's"	"Football"	""	"1970-1980"	"Color slides"	"image/tiff"	"Still image"	"Photographs"	"Hawkeyes Athletic Slides"	"University of Iowa. Libraries. University Archives"	"Center for Media Production Photographic Service Slide Collection"	"RG30_0002_009"	"31858045760315"	"Copyright © The University of Iowa 2015.  All rights reserved."	"Contact the University Archives at the University of Iowa: http://www.lib.uiowa.edu/sc/contact/"	"1973 Iowa Hawkeyes Football Season"	"http://dbpedia.org/resource/1973_Iowa_Hawkeyes_football_team"	"1500300002S1973"	""	"University of Iowa"	"2015-12-09"	""	""	""	""	""	""	""	""	""	""	""	""	"31858045760315_022.tif"
"Football – ca. 1973 / Football Action / CMP tray [1]_023"	"The University of Iowa; The Crowley Company"	"1973"	"Case 1-Tray 1-Slide 001-128"	"Football – ca. 1973 / Football Action / CMP tray [1]"	"Football"	"Men's"	"Football"	""	"1970-1980"	"Color slides"	"image/tiff"	"Still image"	"Photographs"	"Hawkeyes Athletic Slides"	"University of Iowa. Libraries. University Archives"	"Center for Media Production Photographic Service Slide Collection"	"RG30_0002_009"	"31858045760315"	"Copyright © The University of Iowa 2015.  All rights reserved."	"Contact the University Archives at the University of Iowa: http://www.lib.uiowa.edu/sc/contact/"	"1973 Iowa Hawkeyes Football Season"	"http://dbpedia.org/resource/1973_Iowa_Hawkeyes_football_team"	"1500300002S1973"	""	"University of Iowa"	"2015-12-09"	""	""	""	""	""	""	""	""	""	""	""	""	"31858045760315_023.tif"
"Football – ca. 1973 / Football Action / CMP tray [1]_024"	"The University of Iowa; The Crowley Company"	"1973"	"Case 1-Tray 1-Slide 001-128"	"Football – ca. 1973 / Football Action / CMP tray [1]"	"Football"	"Men's"	"Football"	""	"1970-1980"	"Color slides"	"image/tiff"	"Still image"	"Photographs"	"Hawkeyes Athletic Slides"	"University of Iowa. Libraries. University Archives"	"Center for Media Production Photographic Service Slide Collection"	"RG30_0002_009"	"31858045760315"	"Copyright © The University of Iowa 2015.  All rights reserved."	"Contact the University Archives at the University of Iowa: http://www.lib.uiowa.edu/sc/contact/"	"1973 Iowa Hawkeyes Football Season"	"http://dbpedia.org/resource/1973_Iowa_Hawkeyes_football_team"	"1500300002S1973"	""	"University of Iowa"	"2015-12-09"	""	""	""	""	""	""	""	""	""	""	""	""	"31858045760315_024.tif"
"Football – ca. 1973 / Football Action / CMP tray [1]_025"	"The University of Iowa; The Crowley Company"	"1973"	"Case 1-Tray 1-Slide 001-128"	"Football – ca. 1973 / Football Action / CMP tray [1]"	"Football"	"Men's"	"Football"	""	"1970-1980"	"Color slides"	"image/tiff"	"Still image"	"Photographs"	"Hawkeyes Athletic Slides"	"University of Iowa. Libraries. University Archives"	"Center for Media Production Photographic Service Slide Collection"	"RG30_0002_009"	"31858045760315"	"Copyright © The University of Iowa 2015.  All rights reserved."	"Contact the University Archives at the University of Iowa: http://www.lib.uiowa.edu/sc/contact/"	"1973 Iowa Hawkeyes Football Season"	"http://dbpedia.org/resource/1973_Iowa_Hawkeyes_football_team"	"1500300002S1973"	""	"University of Iowa"	"2015-12-09"	""	""	""	""	""	""	""	""	""	""	""	""	"31858045760315_025.tif"
"Football – ca. 1973 / Football Action / CMP tray [1]_026"	"The University of Iowa; The Crowley Company"	"1973"	"Case 1-Tray 1-Slide 001-128"	"Football – ca. 1973 / Football Action / CMP tray [1]"	"Football"	"Men's"	"Football"	""	"1970-1980"	"Color slides"	"image/tiff"	"Still image"	"Photographs"	"Hawkeyes Athletic Slides"	"University of Iowa. Libraries. University Archives"	"Center for Media Production Photographic Service Slide Collection"	"RG30_0002_009"	"31858045760315"	"Copyright © The University of Iowa 2015.  All rights reserved."	"Contact the University Archives at the University of Iowa: http://www.lib.uiowa.edu/sc/contact/"	"1973 Iowa Hawkeyes Football Season"	"http://dbpedia.org/resource/1973_Iowa_Hawkeyes_football_team"	"1500300002S1973"	""	"University of Iowa"	"2015-12-09"	""	""	""	""	""	""	""	""	""	""	""	""	"31858045760315_026.tif"
"Football – ca. 1973 / Football Action / CMP tray [1]_027"	"The University of Iowa; The Crowley Company"	"1973"	"Case 1-Tray 1-Slide 001-128"	"Football – ca. 1973 / Football Action / CMP tray [1]"	"Football"	"Men's"	"Football"	""	"1970-1980"	"Color slides"	"image/tiff"	"Still image"	"Photographs"	"Hawkeyes Athletic Slides"	"University of Iowa. Libraries. University Archives"	"Center for Media Production Photographic Service Slide Collection"	"RG30_0002_009"	"31858045760315"	"Copyright © The University of Iowa 2015.  All rights reserved."	"Contact the University Archives at the University of Iowa: http://www.lib.uiowa.edu/sc/contact/"	"1973 Iowa Hawkeyes Football Season"	"http://dbpedia.org/resource/1973_Iowa_Hawkeyes_football_team"	"1500300002S1973"	""	"University of Iowa"	"2015-12-09"	""	""	""	""	""	""	""	""	""	""	""	""	"31858045760315_027.tif"
"Football – ca. 1973 / Football Action / CMP tray [1]_028"	"The University of Iowa; The Crowley Company"	"1973"	"Case 1-Tray 1-Slide 001-128"	"Football – ca. 1973 / Football Action / CMP tray [1]"	"Football"	"Men's"	"Football"	""	"1970-1980"	"Color slides"	"image/tiff"	"Still image"	"Photographs"	"Hawkeyes Athletic Slides"	"University of Iowa. Libraries. University Archives"	"Center for Media Production Photographic Service Slide Collection"	"RG30_0002_009"	"31858045760315"	"Copyright © The University of Iowa 2015.  All rights reserved."	"Contact the University Archives at the University of Iowa: http://www.lib.uiowa.edu/sc/contact/"	"1973 Iowa Hawkeyes Football Season"	"http://dbpedia.org/resource/1973_Iowa_Hawkeyes_football_team"	"1500300002S1973"	""	"University of Iowa"	"2015-12-09"	""	""	""	""	""	""	""	""	""	""	""	""	"31858045760315_028.tif"
"Football – ca. 1973 / Football Action / CMP tray [1]_029"	"The University of Iowa; The Crowley Company"	"1973"	"Case 1-Tray 1-Slide 001-128"	"Football – ca. 1973 / Football Action / CMP tray [1]"	"Football"	"Men's"	"Football"	""	"1970-1980"	"Color slides"	"image/tiff"	"Still image"	"Photographs"	"Hawkeyes Athletic Slides"	"University of Iowa. Libraries. University Archives"	"Center for Media Production Photographic Service Slide Collection"	"RG30_0002_009"	"31858045760315"	"Copyright © The University of Iowa 2015.  All rights reserved."	"Contact the University Archives at the University of Iowa: http://www.lib.uiowa.edu/sc/contact/"	"1973 Iowa Hawkeyes Football Season"	"http://dbpedia.org/resource/1973_Iowa_Hawkeyes_football_team"	"1500300002S1973"	""	"University of Iowa"	"2015-12-09"	""	""	""	""	""	""	""	""	""	""	""	""	"31858045760315_029.tif"
"Football – ca. 1973 / Football Action / CMP tray [1]_030"	"The University of Iowa; The Crowley Company"	"1973"	"Case 1-Tray 1-Slide 001-128"	"Football – ca. 1973 / Football Action / CMP tray [1]"	"Football"	"Men's"	"Football"	""	"1970-1980"	"Color slides"	"image/tiff"	"Still image"	"Photographs"	"Hawkeyes Athletic Slides"	"University of Iowa. Libraries. University Archives"	"Center for Media Production Photographic Service Slide Collection"	"RG30_0002_009"	"31858045760315"	"Copyright © The University of Iowa 2015.  All rights reserved."	"Contact the University Archives at the University of Iowa: http://www.lib.uiowa.edu/sc/contact/"	"1973 Iowa Hawkeyes Football Season"	"http://dbpedia.org/resource/1973_Iowa_Hawkeyes_football_team"	"1500300002S1973"	""	"University of Iowa"	"2015-12-09"	""	""	""	""	""	""	""	""	""	""	""	""	"31858045760315_030.tif"
